	Аахен		Аахенъ
 	балуешься		балуешься, балуется, балуемся	 
 	бальнеология		бальнеологія	 
 	банальнее		банальнѣе	 
 	банальнейший		банальнѣйшій	 
 	банального		банальнаго	 
 	банальные		банальные, банальныя	 
 	банальный		банальный, банальнаго	 
 	бандерильеро		бандерильеро	 
 	бандерилья		бандерилья	 
 	бандероль		бандероль	 
 	бандлет		бандлетъ	 
 	банк		банкъ, въ банкѣ	 
 	банка		банка, въ банкѣ	 
 	банкет		банкетъ, на банкетѣ	 
 	банкёр		банкёръ	 
 	банкир		банкиръ	 
 	банковские		банковскіе, банковскія	 
 	банковский		банковскій, банковскаго	 
 	банковского		банковскаго	 
 	банковское		банковское	 
 	банкомёт		банкомётъ	 
 	банкрот		банкротъ и банкрутъ	 
 	банкротство		банкротство, о банкротствѣ	 
 	баннер		баннеръ	 
 	баннерьер		баннерьеръ	 
 	банщик		банщикъ	 
 	банщица		банщица	 
 	баня		баня, въ банѣ, банное	 
 	баптистерий		баптистерій	 
 	бар		баръ, въ барѣ	 
 	баратерия		баратерія	 
 	барахтаться		барахтаться	 
 	барашек		барашекъ	 
 	барбет		барбетъ	 
 	барбетка		барбетка	 
 	баре		баре, въ барѣ	 
 	бареж		барежъ, барежевый	 
 	барельеф		барельефъ, на барельефѣ	 
 	баржа		баржа, на баржѣ, мн. баржъ, тв. баржей	 
 	баржа		баржа, на баржѣ, мн. баржей, тв. баржой	 
 	баржевый		баржевый	 
 	барин		баринъ, им. п. мн. ч. бара и баре	 
 	баркас		баркасъ, на баркасѣ	 
 	барометр		барометръ	 
 	баронесса		баронесса	 
 	баронет		баронетъ	 
 	баррель		баррель	 
 	баррет		барретъ, баретъ	 
 	баррикада		баррикада, на баррикадѣ	 
 	барристер		барристеръ	 
 	Барселона		Барселона	 
 	бартер		бартеръ	 
 	барчонок		барчонокъ, барчукъ	 
 	барыня		барыня, барыней, о барынѣ	 
 	барыш		барышъ, барышомъ, въ барышѣ	 
 	барышня		барышня, барышней, къ барышнѣ, род. п. мн. ч. барышень	 
 	барьер		барьеръ, къ барьеру	 
 	басенка		басенка, въ басенкѣ	 
 	басенник		басенникъ	 
 	басенный		басенный	 
 	басище		басище	 
 	баской		баской, баского	 
 	баснописец		баснописецъ	 
 	басня		басня и баснь, въ баснѣ	 
 	бассейн		бассейнъ, въ бассейнѣ	 
 	бастион		бастіонъ, на бастіонѣ	 
 	басурман		басурманъ и бусурманъ, басурмане, басурманскій	 
 	баталёр		баталёръ	 
 	баталия		баталія	 
 	батальон		батальонъ и баталіонъ, въ батальонѣ	 
 	батарея		батарея, на батареѣ	 
 	батенька		батенька	 
 	батрачество		батрачество, батраческій	 
 	батюшка		батюшка, къ батюшкѣ, по батюшкѣ	 
 	баулец		баулецъ	 
 	бахча		бахча и бакча, на бахчѣ	 
 	бацилла		бацилла	 
 	башенка		башенка	 
 	башенный		башенный	 
 	башня		башня, на башнѣ, род. п. мн. ч. башенъ	 
 	баядерка		баядерка	 
 	Баязет		Баязетъ	 
 	баян		баянъ, на баянѣ	 
 	Баян		Боянъ, Баянъ, о Боянѣ	 
 	бдение		бдѣніе
 	бденного		бдѣннаго	 
 	бденное		бдѣнное	 
 	бденные		бдѣнные, бдѣнныя	 
 	бденный		бдѣнный, бдѣннаго	 
 	бдеть		бдѣть, бдѣніе, бдитъ, бдишь, бдятъ,	 
 	бдительность		бдительность	 
 	бдительный		бдительный	 
 	беби		беби
 	бег		бѣгъ, при бѣгѣ, на бѣгу	 
 	бегал		бѣгалъ, бѣгала, бѣгали, бѣгало	 
 	бегать		бѣгать, бѣгаетъ, бѣгаешь, бѣгаемъ, бѣгаютъ	 
 	бегемот		бегемотъ	 
 	беги		бѣги	 
 	бегите		бѣгите	 
 	беглец		бѣглецъ, о бѣглецѣ, бѣглеца	 
 	бегло		бѣгло	 
 	беглого		бѣглаго	 
 	беглое		бѣглое	 
 	беглые		бѣглые, бѣглыя	 
 	беглый		бѣглый, бѣглаго, бѣглыхъ	 
 	беглым		бѣглымъ, бѣглыми	 
 	беглянка		бѣглянка	 
 	бегом		бѣгомъ	 
 	бегония		бегонія	 
 	беготнёй		бѣготнёй, бѣготнёю	 
 	бегство		бѣгство, въ бѣгствѣ	 
 	бегу		бѣгу	 
 	бегун		бѣгунъ, бѣгуны	 
 	бегунок		бѣгунокъ	 
 	бегунья		бѣгунья, бѣгуньи	 
 	бегут		бѣгутъ	 
 	беда		бѣда, въ бѣдѣ, бѣдой и бѣдою, на бѣду, это не бѣда	 
 	бедекер		бедекеръ	 
 	бедлам		бедламъ	 
 	беднее		бѣднѣе	 
 	беднейший		бѣднѣйшій, бѣднѣйшаго	 
 	бедненький		бѣдненькій, бѣдненькаго	 
 	беднеть		бѣднѣть, бѣднѣютъ, бѣднѣешь	 
 	бедноватый		бѣдноватый, бѣдноватаго	 
 	бедного		бѣднаго	 
 	бедное		бѣдное	 
 	бедность		бѣдность	 
 	беднота		бѣднота	 
 	бедные		бѣдные, бѣдныя	 
 	бедный		бѣдный, бѣденъ, бѣдна, бѣдно, бѣдное, бѣднаго	 
 	бедняга		бѣдняга, о бѣднягѣ	 
 	бедняжечка		бѣдняжечка	 
 	бедняжка		бѣдняжка	 
 	бедняк		бѣднякъ, о бѣднякѣ	 
 	бедняцкий		бѣдняцкій, бѣдняцкаго	 
 	беднячка		бѣднячка	 
